date,game_id,team,opponent,inning,count,player_1,player_2,player_3,player_4,player_5
2025/08/19,TBA202508190,NYA,TBA,1,3,Aaron Judge,Cody Bellinger,Giancarlo Stanton,,
2025/08/19,TBA202508190,NYA,TBA,4,2,Giancarlo Stanton,Ben Rice,,,
2025/08/20,TBA202508200,NYA,TBA,10,2,Giancarlo Stanton,Austin Wells,,,
2025/09/02,TBA202509020,SEA,TBA,4,2,Cal Raleigh,Julio Rodriguez,,,
2025/09/04,TBA202509040,CLE,TBA,9,2,Jose Ramirez,Kyle Manzardo,,,
2025/09/10,TEX202509100,MIL,TEX,1,2,Brice Turang,Jackson Chourio,,,
2025/09/20,TEX202509200,MIA,TEX,6,2,Troy Johnston,Connor Norby,,,
2025/03/27,TOR202503270,BAL,TOR,8,2,Adley Rutschman,Jordan Westburg,,,
2025/03/31,TOR202503310,WAS,TOR,6,2,CJ Abrams,James Wood,,,
2025/04/30,TOR202504300,TOR,BOS,6,2,Daulton Varsho,Alejandro Kirk,,,
2025/06/03,TOR202506030,PHI,TOR,1,2,Trea Turner,Bryce Harper,,,
2025/06/17,TOR202506170,TOR,ARI,9,2,Bo Bichette,Addison Barger,,,
2025/08/30,TOR202508300,MIL,TOR,9,2,Jackson Chourio,Christian Yelich,,,
2025/09/26,TOR202509260,TBA,TOR,2,2,Junior Caminero,Jonathan Aranda,,,
2025/05/22,WAS202505220,ATL,WAS,1,2,Matt Olson,Marcell Ozuna,,,
2025/06/17,WAS202506170,COL,WAS,7,2,Hunter Goodman,Ryan McMahon,,,
2025/06/17,WAS202506170,COL,WAS,7,2,Michael Toglia,Sam Hilliard,,,
2025/08/15,WAS202508150,PHI,WAS,7,2,Kyle Schwarber,Bryce Harper,,,
2025/09/16,WAS202509161,ATL,WAS,4,2,Jurickson Profar,Matt Olson,,,
